Store Name,number,streetaddr,strcity,strstate,zipcode,phone-number,Longitude,Latitude
"Wm Nbrhd Mkt - Brandon,",#5826,901 Lithia Pinecrest Rd,Brandon,FL,33511,(813) 261-0267,-82.270252,27.924811
"Wm Nbrhd Mkt - Cape Coral (S) ,",#5451,3920 Skyline Blvd,Cape Coral,FL,33914,(239) 540-2245,-81.991052,26.578863
"Wm Nbrhd Mkt - Cape Coral ,",#5453,505 Pine Island Rd Sw,Cape Coral,FL,33991,(239) 458-7530,-81.984876,26.649125
"Wm Nbrhd Mkt - Clearwater ,",#4667,1803 North Highland Ave,Clearwater,FL,33755,(727) 441-4320,-82.774456,27.987293
"WM Nbrhd Mkt - Clearwater,",#5670,2171 Gulf Bay Blvd,Clearwater,FL,33765,(727) 431-4900,-82.747179,27.960509
"Walmart Supercenter - Coconut Creek ,",#1916,5571 Hillsboro Blvd,Coconut Creek,FL,33073,(954) 426-6101,-80.200247,26.318128
"Wm Nbrhd Mkt - Coral Springs ,",#4380,10635 West Atlantic Blvd,Coral Springs,FL,33071,(954) 345-9513,-80.267282,26.241461
"Wm Nbrhd Mkt - Coral Springs ,",#4498,4650 University Dr,Coral Springs,FL,33067,(954) 753-7377,-80.251735,26.288091
"Walmart Supercenter - Crawfordville , Gas/Diesel,",#3307,35 Mike Steward Dr,Crawfordville,FL,32327,(850) 926-1560,-84.36259,30.21572
"Walmart Supercenter - Davie,",#2987,4301 S University Dr,Davie,FL,33328,(954) 331-3612,-80.253056,26.067358
"Wm Nbrhd Mkt - Holly Hill , Gas/Diesel,",#3862,1905 North Nova Rd,Daytona Beach,FL,32117,(636) 672-3835,-81.0672,29.248432
"Wm Nbrhd Mkt - Delray Beach,",#2406,3155 S Federal Hwy,Delray Beach,FL,33483,(561) 450-1853,-80.06086,26.499694
"Walmart Supercenter - Deltona,",#3310,101 Howland Blvd,Deltona,FL,32738,(407) 328-8052,-81.16513,28.87302
"WM Nbrhd Mkt - Dunedin,",#5876,2102 Main St,Dunedin,FL,34698,(727-431-0152,-82.750477,28.019994
"Wm Nbrhd Mkt - Fort Myers ,",#5321,9131 College Pkwy Ste 101,Fort Myers,FL,33919,(239) 267-2860,-81.906947,26.555678
"Walmart Supercenter - Gainesville,",#3877,1800 Ne 12th Ave,Gainesville,FL,32641,(352) 372-3191,-82.300567,29.663336
"Wm Nbrhd Mkt - Greenacres ,",#5758,3911 Jog Rd,Greenacres,FL,33463,(561) 964-6337,-80.14761,26.620798
"Walmart Supercenter - Greenacres,",#1436,6294 Forest Hill Blvd,Greenacres,FL,33415,(561) 966-3101,-80.142424,26.650277
"Wm Nbrhd Mkt - Gulf Breeze,",#5623,334 Gulf Breeze Pkwy,Gulf Breeze,FL,32561,(850) 733-5019,-87.169204,30.365282
"Wm Nbrhd Mkt - Hialeah,",#5945,400 W 9th St,Hialeah,FL,33012,(305) 507-2044,-80.27336,25.829893
"Walmart Supercenter - Hudson,",#5266,12610 Hwy 19,Hudson,FL,34667,(727) 861-0040,-82.697079,28.340605
"Walmart - Indian Harbor Beach ,",#0956,1001 East Eau Gallie Blvd,Indian Harbor Beach,FL,32937,(321) 777-5504,-80.581844,28.137322
"Wm Nbrhd Mkt - Jacksonville,",#5818,10550 Old Saint Augustine Rd; I-295 Exit 5,Jacksonville,FL,32257,(904) 380-8271,-81.609322,30.184931
"Wm Nbrhd Mkt - Jacksonville,",#5817,8011 Merrill Rd; I-295 Exit 46,Jacksonville,FL,32277,(904) 380-8325,-81.562019,30.353493
"Walmart Supercenter - Kissimmee (E) , Gas/Diesel,",#2881,1471 East Osceola Pkwy,Kissimmee,FL,34746,(407) 397-1125,-81.385954,28.342908
"Wm Nbrhd Mkt - Kissimmee,",#5846,3183 W Vine St,Kissimmee,FL,34741,(407) 452-0224,-81.435305,28.306156
"Wm Nbrhd Mkt - Lake Worth ,",#5759,6177 Jog Rd,Lake Worth,FL,33467,(561) 964-5008,-80.1485,26.5874
"Wm Nbrhd Mkt - Largo ,",#5831,13817 Walsingham Rd,Largo,FL,33774,(727) 593-9294,-82.830305,27.881402
"Walmart Supercenter - Largo,",#3372,2677 Roosevelt Blvd,Largo,FL,33760,(727) 431-5917,-82.726078,27.915443
"Wm Nbrhd Mkt - Largo,",#4141,9020 Ulmerton Rd,Largo,FL,33771,(727) 431-5016,-82.764568,27.893383
"Walmart Supercenter - Lauderdale Lakes,",#3625,3001 North State Rd #7,Lauderdale Lakes,FL,33313,(954) 733-7473,-80.20347,26.16359
"Walmart Supercenter - Lecanto,",#5772,1936 N Lecanto Hwy,Lecanto,FL,34461,(352) 228-6000,-82.486664,28.89066
"Walmart Supercenter - Lutz ,",#0988,1575 Land O'lakes Blvd,Lutz,FL,33548,(813) 949-4238,-82.46708,28.182888
"Walmart Supercenter - Lynn Haven , Gas/Diesel,",#1032,2101 S Hwy 77,Lynn Haven,FL,32440,(850) 265-2626,-85.64643,30.22647
"Wm Nbrhd Mkt - Melbourne ,",#5366,3550 South Babcock Rd,Melbourne,FL,32901,(321) 723-8988,-80.622631,28.055312
"Wm Nbrhd Mkt - Melbourne , Gas/Diesel,",#5365,3950 Wickham Rd North,Melbourne,FL,32935,(321) 254-7875,-80.673369,28.17136
"Walmart Supercenter - Miami Gardens,",#3311,19501 Northwest 27th Ave,Miami Gardens,FL,33056,(305) 622-6664,-80.244466,25.952588
"Walmart Supercenter - Miami,",#5854,8400 Coral Way,Miami,FL,33155,(305) 351-0725 (NOP),-80.332786,25.746669
"Walmart Supercenter - Middleburg , Gas/Diesel,",#3308,1580 Brannan Field Rd,Middleburg,FL,32068,(904) 214-9411,-81.832379,30.105763
"Wm Nbrhd Mkt - Middleburg,",#5820,2570 CR 220,Middleburg,FL,32068,(904) 406-6013,-81.85733,30.087391
"Wm Nbrhd Mkt - Naples ,",#4354,5010 Airport Pulling Rd N,Naples,FL,34105,(239) 213-1183,-81.767012,26.20728
"Walmart Supercenter - Naples ,",#3417,6650 Collier Blvd,Naples,FL,34114,(239) 417-1252,-81.698211,26.056415
"Walmart Supercenter - Navarre , Gas/Diesel,",#3439,9360 Navarre Pkwy,Navarre,FL,32566,(850) 939-3998,-86.83076,30.411326
"Walmart Supercenter - Niceville,",#5845,1300 E John Sims Pkwy,Niceville,FL,32578,(850) 389-3013,-86.461905,30.516429
"Walmart Supercenter - North Port , Gas/Diesel,",#3387,17000 Tamiami Trail,North Port,FL,34287,(941) 423-5266,-82.216571,27.035628
"Walmart - Ocala,",#4368,34 Bahia Ave,Ocala,FL,34472,(352) 537-3095,-82.020651,29.11738
"Wm Nbrhd Mkt - Orlando,",#4160,1101 S Goldwyn,Orlando,FL,32805,(407) 563-9069,-81.4179,28.528273
"Wm Nbrhd Mkt - Orlando , Gas/Diesel,",#5179,201 South Chickasaw Trail,Orlando,FL,32825,(407) 380-9971,-81.276446,28.540323
"Wm Nbrhd Mkt - Orlando,",#3162,2715 S Orange Ave,Orlando,FL,32806,(407) 241-4080,-81.3758,28.511889
"Walmart Supercenter - Orlando,",#4588,3101 West Princeton St,Orlando,FL,32808,(321) 354-2096,-81.418404,28.571386
"Wm Nbrhd Mkt - Orlando ,",#3817,433 South Avalon Park Blvd,Orlando,FL,32828,(407) 207-0071,-81.149461,28.537044
"Wm Nbrhd Mkt - Orlando,",#4142,4520 S Semoran Blvd,Orlando,FL,32822,(407) 563-9167,-81.31167,28.497662
"Wm Nbrhd Mkt - Orlando ,",#4211,5559 Clarcona-ocoee Rd,Orlando,FL,32810,(407) 294-7276,-81.454294,28.612015
"Walmart Supercenter - Orlando,",#5871,5734 S Orange Blossom Trail,Orlando,FL,32809,(321) 247-4817,-81.398421,28.475059
"Walmart Supercenter - Orlando,",#3782,5991 New Goldenrod Rd,Orlando,FL,32822,(407) 382-8880,-81.287896,28.473884
"Wm Nbrhd Mkt - Orlando ,",#3617,600 South Alafaya Trail,Orlando,FL,32828,(407) 380-0384,-81.208261,28.536366
"Wm Nbrhd Mkt - Orlando ,",#4425,7818 Colonial West Dr,Orlando,FL,32818,(407) 522-4552,-81.490819,28.550367
"Wm Nbrhd Mkt - Orlando,",#2499,8801 Conroy Windermere Rd,Orlando,FL,32835,(407) 605-4001,-81.507022,28.495061
"Walmart Supercenter - Orlando,",#4332,8990 Turkey Lake Rd,Orlando,FL,32819,(407) 351-2229,-81.476283,28.441144
"Walmart Pharmacy/Clinic - Orlando,",#5997,9600 Parksouth Ct,Orlando,FL,32809,(407) 855-4750,-81.41481,28.42804
"Wm Nbrhd Mkt - Oviedo , Gas/Diesel,",#5106,4255 Alafaya Trail,Oviedo,FL,32765,(407) 359-6707,-81.208376,28.613395
"Walmart Supercenter - Oviedo,",#5894,5511 Deep Lake Rd,Oviedo,FL,32765,(407) 618-5013,-81.260878,28.617023
"Walmart Supercenter - Palmetto , Gas/Diesel,",#3370,508 10th St E,Palmetto,FL,34221,(941) 723-2199,-82.559399,27.521541
"Walmart Supercenter - Panama City Beach,",#3119,15495 Panama City Beach Pkwy,Panama City Beach,FL,32413,(850) 708-6968,-85.866497,30.217923
"Walmart Supercenter - Pensacola,",#3785,501 North Navy Blvd,Pensacola,FL,32507,(850) 453-6311,-87.278972,30.395852
"Wm Nbrhd Mkt - Pinellas Park ,",#4669,6900 Us 19 North,Pinellas Park,FL,33781,(727) 527-2063,-82.681347,27.834583
"Wm Nbrhd Mkt - Pinellas Park ,",#3013,7500 66th St,Pinellas Park,FL,33781,(727) 202-3101,-82.728655,27.840104
"Wm Nbrhd Mkt - Plantation ,",#4595,1885 N Pine Island Rd,Plantation,FL,33322,(954) 472-3134,-80.268855,26.148743
"Wm Nbrhd Mkt - Pompano Beach ,",#4617,1199 S Federal Hwy,Pompano Beach,FL,33069,(954) 781-8774,-80.107223,26.215649
"Walmart Supercenter - Pompano Beach ,",#1517,5001 N Federal Hwy; I-95 Exit 38,Pompano Beach,FL,33064,(954) 784-0220,-80.095267,26.292773
"Walmart Supercenter - Santa Rosa Beach,",#5872,6712 West Hwy 98,Santa Rosa Beach,FL,32459,(850) 622-6237 (NOP),-86.289028,30.37671
"Wm Nbrhd Mkt - Sarasota,",#3066,3500 Tamiami Trail,Sarasota,FL,34234,(941) 444-8410,-82.550711,27.366723
"Wm Nbrhd mkt - South Pasadena,",#3161,6850 Gulfport Blvd S,South Pasadena,FL,33707,(727) 202-3106,-82.73407,27.758191
"Walmart Supercenter - St. Petersburg,",#4690,201 34th St North,St Petersburg,FL,33713,(727) 803-4961 (NOP),-82.678033,27.772931
"Walmart Supercenter - Tallahassee (Falls),",#4520,4021 Lagniappe Way,Tallahassee,FL,32317,(850) 656-2151,-84.217288,30.461728
"Walmart Supercenter - Tampa,",#3197,15302 N Nebraska Ave; I-275 Exit 53,Tampa,FL,33613,(813) 371-6612,-82.449953,28.08899
"Walmart Supercenter - Tampa,",#4681,4302 W Gandy Blvd,Tampa,FL,33611,(813) 371-9444,-82.516271,27.891952
"Wm Nbrhd Mkt - Tampa (Elliott) ,",#5255,6216 Elliot Dr,Tampa,FL,33615,(813) 249-3145,-82.598874,28.005986
"Walmart Supercenter - Tarpon Springs,",#3415,41232 Hwy 19 N,Tarpon Springs,FL,34689,(727) 940-9289,-82.743334,28.147943
"Walmart Supercenter - The Villages ,",#4262,4085 Wedgewood Lane,The Villages,FL,32162,(352) 259-0128,-82.03288,28.92775
"Walmart Supercenter - Wimauma, Gas/Diesel,",#1203,4928 State Rd 674,Wimauma,FL,33598,(813) 633-1467,-82.332646,27.714051
"Wm Nbrhd Mkt - Winter Springs ,",#5132,5216 Red Bug Lake,Winter Springs,FL,32708,(407) 699-7050,-81.27813,28.648229
"Walmart Supercenter - Albany,",#5797,262 Cordele Rd,Albany,GA,31705,(229) 352-9332,-84.08748,31.57859
"Wm Nbrhd Mkt - Alpharetta,",#3186,11770 Haynes Bridge Rd,Alpharetta,GA,30009,(678) 259-2386,-84.294527,34.069597
"Walmart Supercenter - Alpharetta,",#4436,5455 Atlanta Ave,Alpharetta,GA,30004,(770) 475-4101,-84.2517,34.15184
"Walmart Express - Atlanta,",#6180,86 5th St NW,Atlanta,GA,30308,(404) 249-0229,-84.38982,33.776845
"Walmart Supercenter - Augusta,",#4144,3338 Wrightsboro Rd,Augusta,GA,30909,(706) 941-5317,-82.071967,33.467721
"Walmart Supercenter - Blairsville,",#3485,2257 Highwaay 515,Blairsville,GA,30512,(706) 835-2881,-83.998933,34.863511
"Walmart Supercenter - Chamblee,",#3621,1871 Chamblee Tucker Rd,Chamblee,GA,30341,(770) 455-0422,-84.310546,33.888915
"Walmart Supercenter - Cleveland,",#4616,260 Donald E Thurmond Pkwy,Cleveland,GA,30528,(706) 219-2304,-83.76052,34.57791
"Walmart Supercenter - College Park , Gas/Diesel,",#3401,6149 Old National Hwy,College Park,GA,30349,(770) 994-9440,-84.470982,33.586844
"Walmart Supercenter - Columbus,",#1311,5448 B Whittlesey Blvd,Columbus,GA,31909,(706) 322-8801,-84.946052,32.541702
"Walmart Supercenter - Columbus, Gas/Diesel,",#4200,6475 Gateway Rd,Columbus,GA,31909,(706) 563-5979,-84.876785,32.537565
"Walmart Supercenter - Dawsonville,",#3874,156 Power Center Dr,Dawsonville,GA,30534,(706) 265-8787,-84.04433,34.35592
"Wm Nbrhd Mkt - Dunwoody,",#3070,5025 Winters Chapel Rd,Dunwoody,GA,30360,(770) 280-0193,-84.270045,33.920008
"Walmart Supercenter - Jasper,",#5786,1100 Old Philadelphia Rd,Jasper,GA,30143,(706)301-5696,-84.461824,34.476287
"Walmart Supercenter - Kennesaw  , Gas/Diesel,",#3471,3105 N Cobb Pkwy,Kennesaw,GA,30152,(770) 974-9291,-84.658048,34.029112
"Wm Nbrhd Mkt - Lawrenceville,",#3074,3059 Lawrenceville Hwy,Lawrenceville,GA,30044,(678) 259-0050,-84.085261,33.921685
"Wm Nbrhd Mkt - Marietta,",#3068,1167 Powder Springs St,Marietta,GA,30064,(770) 799-1681,-84.573404,33.924084
"Wm Nbrhd Mkt - Marietta,",#3116,3372 Canton Rd,Marietta,GA,30066,(770) 800-9004,-84.527638,34.033881
"Walmart Supercenter - Marietta,",#3611,6520 Earnest Barrett Pkwy,Marietta,GA,30064,(770) 222-6666,-84.634,33.86749
"Wm Nbrhd Mkt - Martinez,",#5813,3851 Evans to Locks Rd,Martinez,GA,30907,(706) 941-5844,-82.086896,33.549953
"Walmart Supercenter - Norcross,",#3067,4975 Jimmy Carter Blvd,Norcross,GA,30093,(770) 225-9882,-84.195806,33.895031
"Walmart Supercenter - Rockmart,",#4409,1801 Nathan Dean Bypass,Rockmart,GA,30153,(678) 757-8766,-85.037727,34.01329
"Walmart Supercenter - Savannah ,",#4556,14030 Abercorn St,Savannah,GA,31419,(912) 344-9664,-81.174327,31.981284
"Wm Nbrhd Mkt - Snellville,",#3072,2912 W Main St,Snellville,GA,30078,(770) 225-0949,-84.033339,33.853101
"Walmart Supercenter - Stone Mountain ,",#3188,5935 Memorial Dr,Stone Mountain,GA,30083,(404) 260-6142,-84.195338,33.800317
"Walmart Supercenter - Thomasville,",#0889,15328 Us Hwy 19 S & Moultrie,Thomasville,GA,31792,(229) 228-0144,-83.94561,30.859954
"Wm Nbrhd Mkt - Tucker,",#3071,3201 Tucker Norcross Rd,Tucker,GA,30084,(770) 225-6010,-84.218819,33.883568
"Walmart Supercenter - Warner Robbins (S) , Gas/Diesel,",#3750,502 Booth Rd,Warner Robbins,GA,31088,(478) 918-0338,-83.612336,32.591119
"Walmart - Hilo,",#2473,325 Makaala St,Hilo,HI,96720,(808) 961-9115,-155.062835,19.700111
"Walmart - Kahului,",#3290,101 Pakaula St,Kahului,HI,96732,(808) 871-7820,-156.455702,20.878065
"Walmart - Kailua Kona,",#2321,75-1015 Henry St,Kailua Kona,HI,96740,(808) 334-0466,-155.990263,19.645553
"Walmart - Lihue,",#2308,3-3300 Kuhio Hwy,Lihue,HI,96766,(808) 246-1599,-159.365703,21.982491
"Walmart - Mililani,",#2126,95-550 Lanikuhana Ave,Mililani,HI,96789,(808) 623-6744,-158.005326,21.450783
"Walmart - Pearl City,",#5274,1131 Kuala St,Pearl City,HI,96782,(808) 454-8785,-157.974096,21.397887
"Walmart - Waipahu,",#2314,94-595 Kupuohi St,Waipahu,HI,96797,(808) 688-0066,-158.034457,21.390783
"Walmart Supercenter - Ames,",#4256,534 South Duff Ave,Ames,IA,50010,(515) 956-3536,-93.607945,42.015998
"Walmart Supercenter - Grimes,",#5748,2150 East 1st St,Grimes,IA,50111,(515) 986-1783,-93.77108,41.686616
"Walmart Supercenter - Ammon,",#1902,1201 S 25th E,Ammon,ID,83406,(208) 522-0204,-111.981775,43.486596
"Walmart Supercenter - Hayden,",#3511,550 W Honeysuckle,Hayden,ID,83835,(208)209-4044,-116.793302,47.751266
"Walmart Supercenter - Meridian,",#3093,795 West Overland Rd,Meridian,ID,83642,(208) 917-6902,-116.402178,43.589458
"Walmart Supercenter - Post Falls,",#4395,6405 W Pointe Pkwy,Post Falls,ID,83854,(208)777-4151,-117.030008,47.70305
"Walmart Supercenter - Twin Falls,",#3897,252 Cheney Dr W,Twin Falls,ID,83301,(208) 734-2136,-114.483057,42.589543
"Walmart Supercenter - Aurora (NE),",#4405,2900 Kirk Rd,Aurora,IL,60504,(630) 375-6207,-88.282078,41.815663
"Walmart Supercenter - Belleville,",#0201,2608 Green Mount Commons Dr.,Belleville,IL,62221,(618) 236-2200,-89.954336,38.514703
"Wm Nbrhd Mkt - Chicago,",#2430,1424 W 47th St,Chicago,IL,60609,(773) 475-4459,-87.66081,41.808613
"Walmart Express - Chicago,",#3039,225 W Chicago Ave,Chicago,IL,60654,(312) 274-9581,-87.634879,41.896386
"Wm Nbrhd Mkt - Chicago,",#5646,2551 W Cermak,Chicago,IL,60608,(773) 475-4209,-87.68959,41.851869
"Wm Nbrhd Mkt - Chicago,",#5645,2844 N BRdway,Chicago,IL,60657,(773) 687-4401,-87.644554,41.934216
"Walmart Express - Chicago,",#3065,3636 N BRdway St,Chicago,IL,60613,(773) 281-3321,-87.6482,41.9482
"Walmart Supercenter - Chicago,",#5617,4626 W Diversey Ave,Chicago,IL,60639,(773) 628-1880,-87.743425,41.931709
"Walmart Supercenter - Chicago (W),",#5402,4650 West North Ave,Chicago,IL,60639,(773) 252-7465,-87.742825,41.910593
"Wm Nbrhd Mkt - Chicago,",#5647,570 W Monroe St,Chicago,IL,60661,(312) 470-1460,-87.642467,41.880454
"Walmart Supercenter - Chicago,",#5781,8331 S Stewart Ave,Chicago,IL,60620,(773) 358-9000,-87.63293,41.741308
"Walmart Supercenter - Cicero,",#3004,3320 S Cicero Ave; I-55 Exit 286,Cicero,IL,60804,(708) 735-8456,-87.744661,41.83112
"Walmart Supercenter - Crestwood,",#3601,4700 West 135th St,Crestwood,IL,60445,(708) 489-5547,-87.735256,41.648152
"Walmart Supercenter - Freeport,",#1740,2545 Illinois Route 26 So. Rd.,Freeport,IL,61032,(815) 232-8120,-89.629628,42.264139
"Walmart Supercenter - Godfrey ,",#4695,6660 Godfrey Rd,Godfrey,IL,62035,(618) 433-3008,-90.193548,38.964664
"Walmart Supercenter - Huntley,",#4641,12300 Rte 47,Huntley,IL,60142,(847) 669-7126,-88.43127,42.14334
"Walmart Supercenter - Johnsburg,",#1377,3801 Running Brook Farms Blvd,Johnsburg,IL,60051,(815) 363-0100,-88.270966,42.369549
"Walmart Supercenter - Joliet,",#1256,2424 W. Jefferson St.,Joliet,IL,60436,(815) 744-7575,-88.142259,41.520142
"Walmart Supercenter - Lockport,",#3790,16241 South Farrell Rd,Lockport,IL,60441,(815) 838-1027,-88.024288,41.592503
"Walmart Supercenter - Montgomery,",#4286,2000 Orchard Rd,Montgomery,IL,60538,(630) 844-0292,-88.373767,41.720296
"Walmart Supercenter - New Lenox,",#4529,501 E Lincoln Hwy,New Lenox,IL,60451,(815) 215-2008,-87.953417,41.514048
"Walmart Supercenter - Niles ,",#3725,8500 West Golf Rd,Niles,IL,60714,(847) 966-7904,-87.835487,42.055807
"Walmart Supercenter - Oswego, Gas/Diesel,",#3400,2300 Route 34,Oswego,IL,60543,(630) 554-3014,-88.303027,41.704477
"Walmart Supercenter - Roscoe,",#3837,4781 E. Rockton Rd,Roscoe,IL,61073,(815) 389-4055,-89.024253,42.455144
"Walmart Supercenter - Savoy, Gas/Diesel,",#3255,505 South Dunlap Ave; I-57 Exit 229/232,Savoy,IL,61874,(217) 355-5845,-88.254814,40.048747
"Walmart Supercenter - Shelbyville,",#4259,2607 W Main St,Shelbyville,IL,62565,(217) 774-1560,-88.828369,39.407179
"Walmart Supercenter - Silvis,",#4511,1601 18th St,Silvis,IL,61282,(309) 796-3526,-90.404539,41.495673
"Walmart Supercenter - Streator,",#4699,2415 N Bloomington St,Streator,IL,61364,(815) 672-3071,-88.83409,41.151644
"Walmart Supercenter - Waukegan , Gas/Diesel,",#3891,3900 Fountain Square Place,Waukegan,IL,60085,(847) 473-2193,-87.899571,42.343566
"Walmart Supercenter - Woodstock,",#3434,1275 Lake Ave,Woodstock,IL,60098,(815) 206-0256,-88.422904,42.296722
"Walmart Supercenter - Zion ,",#3893,4000 Route #173,Zion,IL,60099,(847) 731-8172,-87.86779,42.46543
"Walmart Supercenter - Camby,",#4417,8191 Upland Way,Camby,IN,46113,(317) 856-5748,-86.328909,39.642816
"Walmart Supercenter - Elkhart (W),",#4399,30830 Old Us 20,Elkhart,IN,46514,(574) 674-2656,-86.058115,41.687772
"Wm Nbrhd Mkt - Evansville (SE),",#5372,3430 Taylor Ave,Evansville,IN,47714,(812) 471-4243,-87.508712,37.957842
"Wm Nbrhd Mkt - Fishers,",#5767,9354 E 131st St; I-69 Exit 205,Fishers,IN,46038,(317) 567-8406,-86.00211,39.979501
"Walmart Supercenter - Fort Wayne , Gas/Diesel,",#4230,10105 Lima Rd,Fort Wayne,IN,46818,(260) 490-6510,-85.167454,41.176408
"Walmart Supercenter - Fort Wayne, Gas/Diesel,",#4231,7502 Southtown Crossing Blvd,Fort Wayne,IN,46816,(260) 441-7071,-85.119687,41.01472
"Walmart Supercenter - Hammond,",#4631,1100 5th Ave,Hammond,IN,46320,(219) 473-9653,-87.519693,41.694141
"Wm Nbrhd Mkt - Indianapolis ,",#5406,8010 East 38th St,Indianapolis,IN,46226,(317) 895-5734,-86.026119,39.827686
"Walmart Supercenter - Lafayette,",#3851,2347 East 350 South,Lafayette,IN,47909,(765) 477-9379,-86.859033,40.365844
"Walmart Supercenter - Muncie, Gas/Diesel,",#3747,1501 East 29th St,Muncie,IN,47302,(765) 282-7467,-85.369479,40.158518
"Walmart Supercenter - Newburgh,",#5728,8599 Highpointe Dr,Newburgh,IN,47630,(812) 842-2361,-87.406744,37.979781
"Walmart Supercenter - Plainfield, Gas/Diesel,",#0828,2373 E Main St,Plainfield,IN,46168,(317) 839-2261,-86.367422,39.712448
"Walmart Supercenter - South Bend,",#3436,700 West Ireland Rd,South Bend,IN,46614,(574) 299-1284,-86.256605,41.626431
"Wm Nbrhd Mkt - Derby,",#3155,1106 S Rock Rd,Derby,KS,67037,(316) 788-8333,-97.244141,37.531952
"Walmart Supercenter - Goddard,",#3103,18631 W Kellogg Dr,Goddard,KS,67052,(316) 347-2092,-97.554504,37.663827
"Walmart Supercenter - Kansas City (NE),",#1151,10824 Parallel Pkwy; I-405 Exit 148,Kansas City,KS,66109,(913) 788-3331,-94.830153,39.131277
"Walmart Supercenter - Lawrence,",#5219,550 Congressional Dr,Lawrence,KS,66049,(785) 841-1700,-95.309835,38.972668
"Wm Nbrhd Mkt - Olathe,",#4198,18555 W 151st Street,Olathe,KS,66062,(913) 489-8366,-94.777498,38.853722
"Walmart Supercenter - Olathe (W),",#4475,395 N Ave K 7 Hwy,Olathe,KS,66061,(913) 764-7150,-94.836361,38.886103
"Wm Nbrhd Mkt - Overland Park ,",#5207,9000 Metcalf Ave,Overland Park,KS,66212,(913) 649-4335,-94.668732,38.965328
"Walmart Supercenter - Topeka,",#5441,2600 N.w. Rochester Rd,Topeka,KS,66608,(785) 357-4827,-95.671666,39.092858
"Wm Nbrhd Mkt - Wichita,",#5855,10550 W Central Ave,Wichita,KS,67212,(316) 448-3567,-97.46438,37.695053
"Wm Nbrhd Mkt - Wichita,",#5990,2111 N Amidon,Wichita,KS,67203,(316) 361-3325,-97.363886,37.721193
"Wm Nbrhd Mkt - Wichita,",#5991,3137 S Senaca St,Wichita,KS,67207,(316) 361-3345,-97.353801,37.637941
"Wm Nbrhd Mkt - Wichita,",#5873,4794 E 13th,Wichita,KS,67208,(3160 361-3382,-97.280903,37.708462
"Walmart Supercenter - Wichita,",#4321,5475 N Meridian,Wichita,KS,67204,(316) 831-9425,-97.373503,37.783212
"Wm Nbrhd Mkt - Wichita,",#5856,601 N West St,Wichita,KS,67203,(316) 361-3201,-97.390425,37.693076
"Wm Nbrhd Mkt - Wichita,",#5860,9831 E Harry St,Wichita,KS,67207,(316) 361-3305,-97.223855,37.662556
"Wm Nbrhd Mkt - Jeffersontown , Gas/Diesel,",#5183,3800 Ruckriegel Pkwy,Jeffersontown,KY,40299,(502) 266-2685,-85.564312,38.189155
"Wm Nbrhd Mkt - Lexington ,",#4607,3735 Palomar Center Dr,Lexington,KY,40513,(859) 224-0840,-84.571987,38.004349
"Wm Nbrhd Mkt - Lexington ,",#4413,4230 Sharon Dr,Lexington,KY,40515,(859) 272-1272,-84.501831,37.966869
"Wm Nbrhd Mkt - Louisville ,",#3841,3101 Poplar Level Rd,Louisville,KY,40213,(502) 636-4356,-85.720008,38.212884
"Wm Nbrhd Mkt - Louisville ,",#4524,5360 Dixie Hwy,Louisville,KY,40261,(502) 447-4757,-85.835574,38.157054
"Walmart Supercenter - Louisville,",#3610,7100 Raggard Rd,Louisville,KY,40216,(502) 447-4677,-85.871113,38.172365
"Wm Nbrhd Mkt - St. Matthews ,",#5297,143 Thierman Lane,St. Matthews,KY,40207,(502) 893-8088,-85.644269,38.253253
"Walmart Supercenter - Abbeville , Gas/Diesel,",#0309,3005 Veterans Memorial Dr,Abbeville,LA,70510,(337) 893-6485,-92.095051,29.972038
"Walmart Supercenter - Alexandria , Gas/Diesel,",#4295,6225 Coliseum Blvd,Alexandria,LA,71303,(318-448-8881,-92.513564,31.292995
"Wm Nbrhd Mkt - Baton Rouge (Coursey) , Gas/Diesel,",#5328,14241 Coursey Blvd,Baton Rouge,LA,70817,(225) 752-5354,-91.021059,30.408918
"Wm Nbrhd Mkt - Baton Rouge ,",#4659,5255 Highland Rd,Baton Rouge,LA,70808,(225) 766-7776,-91.160363,30.39497
"Walmart Supercenter - Broussard,",#0415,123 Saint Nazaire Rd,Broussard,LA,70518,(337) 837-8886,-91.94339,30.143251
"Wm Nbrhd Mkt - Covington,",#3042,2800 N Hwy 190,Covington,LA,70433,(985) 327-6312,-90.086071,30.470925
"Walmart Supercenter - Denham Springs,",#4679,34025 Hwy 16,Denham Springs,LA,70706,(225) 271-2307,-90.957429,30.56165
"Wm Nbrhd Mkt - Harvey ,",#5722,3265 Manahattan Blvd,Harvey,LA,70058,(504) 366-1404,-90.045479,29.861608
"Wm Nbrhd Mkt - Mandeville,",#5832,3009 E Causeway Approach,Mandeville,LA,70448,(985) 626-1113,-90.076893,30.372169
"Walmart Supercenter - Ponchatoula,",#4129,1331 Hwy 51; I-55 Exit 26,Ponchatoula,LA,70454,(985) 467-8046,-90.452888,30.43946
"Walmart Supercenter - Shreveport, Gas/Diesel,",#3868,1125 Shreveport Barksdale Hwy,Shreveport,LA,71105,(318) 861-9202,-93.706177,32.484796
"Walmart Supercenter - Shreveport, Gas,",#0278,1645 Bert Kouns Industrial Loop,Shreveport,LA,71105,(318) 797-5970,-93.712562,32.429582
