storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,type_store,strstate_order,region,statename,zipcode,Store Name,number,streetaddr1,strcity1,strstate1,zipcode1,phone-number,Longitude,Latitude
429,1981-11-03,1994-03-01,1,48,215,1724 W UNIVERSITY DRIVE,Edinburg,TX,Supercenter,TX,South,Texas,78539,"Walmart Supercenter - Edinburg , Gas/Diesel,",#0429,1724 W University Dr,Edinburg,TX,78539,(956) 381-6674,-98.180642,26.302513
430,1981-09-01,1996-03-01,1,21,083,1225 PARIS ROAD,Mayfield,KY,Supercenter,KY,South,Kentucky,42066,"Walmart Supercenter - Mayfield,",#0430,1225 Paris Rd,Mayfield,KY,42066,(270) 247-0358,-88.628711,36.720992
431,1981-08-18,1995-03-01,1,21,145,3220 IRVING COBB DRIVE,Paducah,KY,Supercenter,KY,South,Kentucky,42003,"Walmart Supercenter - Paducah,",#0431,3220 Irving Cobb Dr,Paducah,KY,42003,(270) 444-6941,-88.565154,37.05137
432,1981-08-18,2004-04-21,1,01,121,214 HAYNES STREET,Talladega,AL,Supercenter,AL,South,Alabama,35160,"Walmart Supercenter - Talladega , Gas/Diesel,",#0432,214 Haynes St,Talladega,AL,35160,(256) 761-1681,-86.081078,33.438168
433,1981-08-11,2004-03-17,1,01,089,2200 SPARKMAN DRIVE,Huntsville,AL,Supercenter,AL,South,Alabama,35810,"Walmart Supercenter - Huntsville , Gas/Diesel,",#0433,2200 Sparkman Dr,Huntsville,AL,35810,(256) 852-2236,-86.592125,34.764268
434,1981-08-11,1996-03-01,1,01,089,11610 MEMORIAL PKWY SOUTH,Huntsville,AL,Supercenter,AL,South,Alabama,35803,"Walmart Supercenter - Huntsville, Gas,",#0434,11610 Memorial Pkwy South,Huntsville,AL,35803,(256) 881-0581,-86.569318,34.615841
435,1982-09-21,2001-03-14,1,17,119,12495 STATE RTE 143,Highland,IL,Supercenter,IL,Midwest,Illinois,62249,"Walmart Supercenter - Highland,",#0435,12495 State Rte 143,Highland,IL,62249,(618) 654-4596,-89.684135,38.760092
436,1982-09-21,NA,NA,17,027,2517 FRANKLIN ST,Carlyle,IL,Wal-Mart,IL,Midwest,Illinois,62231,"Walmart Supercenter - Carlyle ,",#0436,2591 12th St,Carlyle,IL,62231,(618) 594-2465,-89.375923,38.62933
437,1982-09-21,NA,NA,48,015,2200 HIGHWAY 36 SOUTH,Sealy,TX,Wal-Mart,TX,South,Texas,77474,"Walmart Supercenter - Sealy , Gas/Diesel,",#0437,310 Overcreek Way,Sealy,TX,77474,(979) 627-7758,-96.151637,29.758078
438,1984-02-01,NA,NA,48,429,3732 WEST WALKER,Breckenridge,TX,Wal-Mart,TX,South,Texas,76424,"Walmart - Breckenridge,",#0438,3732 W Walker,Breckenridge,TX,76424,(254) 559-6579,-98.944764,32.759707
440,1982-08-31,2004-10-27,1,48,007,2401 HWY 35 NORTH,Rockport,TX,Supercenter,TX,South,Texas,78382,"Walmart Supercenter - Rockport , Gas/Diesel,",#0440,2401 Hwy 35 North,Rockport,TX,78382,(361) 729-9277,-97.044024,28.047937
442,1982-04-20,1996-03-01,1,48,273,1133 E GEN'L CAVAZOS BLVD,Kingsville,TX,Supercenter,TX,South,Texas,78363,"Walmart Supercenter - Kingsville, Gas,",#0442,1133 E General Cavazos Blvd,Kingsville,TX,78363,(361) 595-4146,-97.853641,27.490401
443,1982-10-05,NA,NA,48,325,103 19TH STREET,Hondo,TX,Wal-Mart,TX,South,Texas,78861,"Walmart Supercenter - Hondo , Gas/Diesel,",#0443,109 22nd St,Hondo,TX,78861,(830) 426-4356,-99.126881,29.344756
444,1982-07-13,2002-05-22,1,29,077,3315 SOUTH CAMPBELL,Springfield,MO,Supercenter,MO,Midwest,Missouri,65807,"Walmart Supercenter - Springfield (SW),",#0444,3315 S Campbell,Springfield,MO,65807,(417) 887-0855,-93.297675,37.153652
445,1982-10-05,2003-08-20,1,21,085,1801 ELIZABETHTOWN ROAD,Leitchfield,KY,Supercenter,KY,South,Kentucky,42754,"Walmart Supercenter - Leitchfield , Gas/Diesel,",#0445,1801 Elizabethtown Rd,Leitchfield,KY,42754,(270) 259-5622,-86.265974,37.485662
446,1984-04-03,NA,NA,48,313,1620 EAST MAIN,Madisonville,TX,Wal-Mart,TX,South,Texas,77864,"Walmart - Madisonville,",#0446,1620 East Main,Madisonville,TX,77864,(936) 348-3715,-95.89464,30.957137
447,1982-11-16,2002-05-15,1,48,465,2410 DODSON ST,Del Rio,TX,Supercenter,TX,South,Texas,78840,"Walmart Supercenter - Del Rio , Gas/Diesel,",#0447,2410 Dodson St.,Del Rio,TX,78840,(830) 774-6034,-100.902051,29.395691
448,1982-08-03,1998-03-01,1,22,017,6235 WESTPORT AVE,Shreveport,LA,Supercenter,LA,South,Louisiana,71129,"Walmart Supercenter - Shreveport (NW), Gas,",#0448,6235 Westport Ave,Shreveport,LA,71129,(318) 688-7700,-93.868055,32.447586
449,1983-05-03,2003-05-21,1,48,245,4999 TWIN CITY HWY,Groves,TX,Supercenter,TX,South,Texas,77642,"Walmart Supercenter - Port Arthur (Groves) , Gas/Diesel,",#0449,4999 Twin City Hwy,Port Arthur,TX,77642,(409) 962-7858,-93.940003,29.937301
450,1982-11-16,2002-03-01,1,22,017,9550 MANSFIELD RD,Shreveport,LA,Supercenter,LA,South,Louisiana,71118,"Walmart Supercenter - Shreveport (S) , Gas/Diesel,",#0450,9550 Mansfield Rd,Shreveport,LA,71118,(318) 688-0538,-93.817857,32.387882
451,1982-02-02,NA,NA,29,019,405 NIFONG BLVD,Columbia,MO,Wal-Mart,MO,Midwest,Missouri,65201,"Walmart Supercenter - Columbia,",#0159,415 Conley Rd,Columbia,MO,65201,(573) 499-4935,-92.295834,38.954906
452,1982-04-20,NA,NA,48,215,4001 NORTH 23RD,McAllen (N),TX,Wal-Mart,TX,South,Texas,78504,"Walmart Supercenter - Mc Allen , Gas/Diesel,",#0452,2800 Nolana Ave,Mcallen,TX,78504,(956) 687-8285,-98.245125,26.242761
453,1982-03-16,NA,NA,29,069,1007 NORTH DOUGLAS,Malden,MO,Wal-Mart,MO,Midwest,Missouri,63863,"Walmart - Malden,",#0453,1007 North Douglas,Malden,MO,63863,(573) 276-5735,-89.971678,36.570247
454,1982-03-02,2005-04-13,1,17,191,150 COMMERCE DRIVE,Fairfield,IL,Supercenter,IL,Midwest,Illinois,62837,"Walmart Supercenter - Fairfield, Gas/Diesel,",#0454,150 Commerce Dr,Fairfield,IL,62837,(618) 842-7633,-88.388977,38.377574
456,1982-10-05,2001-03-14,1,48,061,3500 W ALTON GLOOR BLVD,Brownsville,TX,Supercenter,TX,South,Texas,78520,"Walmart Supercenter - Brownsville,",#0456,3500 W Alton Gloor Blvd,Brownsville,TX,78520,(956) 350-2022,-97.520206,25.976078
457,1983-03-01,NA,NA,48,361,1350 NORTH MAIN,Vidor,TX,Wal-Mart,TX,South,Texas,77662,"Walmart - Vidor,",#0457,1350 North Main,Vidor,TX,77662,(409) 769-6233,-94.015026,30.143414
458,1982-11-02,2001-03-14,1,48,409,2501 WEST WHEELER,Aransas Pass,TX,Supercenter,TX,South,Texas,78336,"Walmart Supercenter - Aransas Pass , Gas/Diesel,",#0458,2501 West Wheeler,Aransas Pass,TX,78336,(361) 758-2920,-97.176781,27.922889
459,1983-11-29,NA,NA,13,217,9218 HWY 278 NE,Covington,GA,Wal-Mart,GA,South,Georgia,30014,"Walmart Supercenter - Covington,",#4558,4200 Salem Rd,Covington,GA,30016,(678) 212-3195 (NOP),-83.959945,33.577048
460,1983-11-29,NA,NA,17,021,10 WEST SECOND,Pana,IL,Wal-Mart,IL,Midwest,Illinois,62557,"Walmart - Pana,",#0460,10 West Second,Pana,IL,62557,(217) 562-5081,-89.084426,39.389956
461,1982-08-17,2002-10-30,1,48,323,496 SOUTH BIBB ST.,Eagle Pass,TX,Supercenter,TX,South,Texas,78852,"Walmart Supercenter - Eagle Pass , Gas/Diesel,",#0461,496 S Bibb St,Eagle Pass,TX,78852,(830) 773-9403,-100.481888,28.701362
462,1982-10-05,2001-05-16,1,48,039,400 SOUTH BYPASS 35,Alvin,TX,Supercenter,TX,South,Texas,77511,"Walmart Supercenter - Alvin , Gas/Diesel,",#0462,400 South Bypass 35,Alvin,TX,77511,(281) 585-2825,-95.22923,29.4222
463,1982-08-31,NA,NA,48,025,2201 NORTH SAINT MARY,Beeville,TX,Wal-Mart,TX,South,Texas,78102,"Walmart Supercenter - Beeville , Gas/Diesel,",#0463,502 East Fm 351,Beeville,TX,78102,(361) 358-4764,-97.753496,28.422943
464,1982-10-05,1994-03-01,1,48,355,3829 US HWY 77,Corpus Christi,TX,Supercenter,TX,South,Texas,78410,"Walmart Supercenter - Corpus Christi,",#0464,3829 Us Hwy 77,Corpus Christi,TX,78410,(361) 387-0599,-97.631853,27.853625
465,1982-11-16,NA,NA,48,493,534 10TH STREET,Floresville,TX,Wal-Mart,TX,South,Texas,78114,"Walmart Supercenter - Floresville, Gas/Diesel,",#0465,305 10th St,Floresville,TX,78114,(830) 393-4417,-98.179168,29.163236
466,1982-11-16,2002-10-30,1,47,069,1604 WEST MARKET ST.,Bolivar,TN,Supercenter,TN,South,Tennessee,38008,"Walmart Supercenter - Bolivar , Gas/Diesel,",#0466,1604 W Market St,Bolivar,TN,38008,(731) 658-7794,-89.025086,35.279358
467,1982-11-16,1996-03-01,1,48,121,1515 SOUTH LOOP 288,Denton,TX,Supercenter,TX,South,Texas,76208,"Walmart Supercenter - Denton , Gas,",#0467,1515 South Loop 288,Denton,TX,76205,(940) 484-1717,-97.093666,33.192246
468,1982-11-16,2002-04-24,1,05,091,133 ARKANSAS BLVD,Texarkana,AR,Supercenter,AR,South,Arkansas,71854,"Walmart Supercenter - Texarkana , Gas/Diesel,",#0468,133 Arkansas Blvd,Texarkana,AR,71854,(870) 772-1501,-94.039737,33.461264
469,1982-11-02,1994-03-01,1,22,019,3415 US 14,Lake Charles,LA,Supercenter,LA,South,Louisiana,70607,"Walmart Supercenter - Lake Charles (W) , Gas/Diesel,",#1204,3451 Nelson Rd,Lake Charles,LA,70605,(337) 477-3785,-93.246952,30.195221
470,1982-10-05,1996-03-01,1,48,355,1821 SOUTH PADRE ISLAND DR,Corpus Christi,TX,Supercenter,TX,South,Texas,78416,"Walmart Supercenter - Corpus Christi (NW),",#0470,1821 South Padre Island Dr,Corpus Christi,TX,78416,(361) 854-0943,-97.43816,27.739036
471,1982-10-05,1999-03-01,1,48,113,150 NORTH BECKLEY,Lancaster,TX,Supercenter,TX,South,Texas,75146,"Walmart Supercenter - Lancaster, Gas,",#0471,150 North Beckley,Lancaster,TX,75146,(972) 223-9791,-96.820344,32.592293
472,1986-04-29,1999-03-01,1,40,143,2301 WEST KENOSHA ST,Broken Arrow,OK,Supercenter,OK,South,Oklahoma,74012,"Walmart Supercenter - Broken Arrow , Gas/Diesel,",#0472,2301 West Kenosha St,Broken Arrow,OK,74012,(918) 259-9126,-95.817421,36.058967
473,1983-04-05,NA,NA,48,287,US HWY 290/2374 E AUSTIN,Giddings,TX,Wal-Mart,TX,South,Texas,78942,"Walmart - Giddings,",#0473,2374 E Austin St,Giddings,TX,78942,(979) 542-0589,-96.915285,30.178184
474,1982-11-02,NA,NA,48,239,1002 NORTH WELLS,Edna,TX,Wal-Mart,TX,South,Texas,77957,"Walmart - Edna,",#0474,1002 North Wells,Edna,TX,77957,(361) 782-5223,-96.650084,28.988477
475,1982-11-30,1995-03-01,1,48,491,2701 SOUTH IH-35,Round Rock,TX,Supercenter,TX,South,Texas,78664,"Walmart Supercenter - Round Rock,",#0475,2701 South Ih-35,Round Rock,TX,78664,(512) 310-9024,-97.67106,30.482821
476,1983-07-01,2005-05-18,1,48,099,2805 SO. HWY 36,Gatesville,TX,Supercenter,TX,South,Texas,76528,"Walmart Supercenter - Gatesville , Gas/Diesel,",#0476,2805 So Hwy 36,Gatesville,TX,76528,(254) 865-8991,-97.714075,31.425336
477,1982-11-16,2005-04-13,1,47,065,9334 DAYTON PIKE,Soddy-Daisy,TN,Supercenter,TN,South,Tennessee,37379,"Walmart Supercenter - Soddy-daisy , Gas/Diesel,",#0477,9334 Dayton Pike,Soddy-daisy,TN,37379,(423) 332-2412,-85.199939,35.235082
478,1984-03-06,NA,NA,48,163,819 N OAK STREET,Pearsall,TX,Wal-Mart,TX,South,Texas,78061,"Walmart - Pearsall,",#0478,819 N Oak St,Pearsall,TX,78061,(830) 334-9451,-99.093647,28.898789
479,1982-09-21,1995-03-01,1,40,065,2500 NORTH MAIN,Altus,OK,Supercenter,OK,South,Oklahoma,73521,"Walmart Supercenter - Altus, Gas,",#0479,2500 North Main,Altus,OK,73521,(580) 482-8189,-99.332287,34.663952
480,1982-11-30,NA,NA,17,149,US 36 & 151 SHETLAND DRIVE,Pittsfield,IL,Wal-Mart,IL,Midwest,Illinois,62363,"Walmart - Pittsfield,",#0480,151 Shetland Dr,Pittsfield,IL,62363,(217) 285-9621,-90.822875,39.604672
481,1982-11-02,1994-03-01,1,17,029,101 DETTRO DRIVE,Mattoon,IL,Supercenter,IL,Midwest,Illinois,61938,"Walmart Supercenter - Mattoon , Gas,",#0481,101 Dettro Dr,Mattoon,IL,61938,(217) 234-2266,-88.337439,39.482459
482,1984-07-17,NA,NA,48,039,301 N COLUMBIA DR,West Columbia,TX,Wal-Mart,TX,South,Texas,77486,"Walmart - West Columbia,",#0482,301 N Columbia Dr,West Columbia,TX,77486,(979) 345-3147,-95.659036,29.150853
483,1982-10-05,1996-03-01,1,01,001,1903 COBBS FORD RD,Prattville,AL,Supercenter,AL,South,Alabama,36066,"Walmart Supercenter - Prattville,",#0483,1903 Cobbs Ford Rd,Prattville,AL,36066,(334) 361-2135,-86.416339,32.462164
484,1983-02-01,NA,NA,20,045,3300 IOWA STREET,Lawrence,KS,Wal-Mart,KS,Midwest,Kansas,66046,"Walmart Supercenter - Lawrence,",#0484,3300 Iowa St,Lawrence,KS,66046,(785) 832-8600,-95.25799,38.923564
485,1983-08-02,2005-06-15,1,22,005,37000 HWY 3089,Donaldsonville,LA,Supercenter,LA,South,Louisiana,70346,"Walmart Supercenter - Donaldsonville , Gas/Diesel,",#0485,37000 Hwy 3089,Donaldsonville,LA,70346,(225) 473-6687,-90.98063,30.094311
486,1983-10-04,2002-10-30,1,20,209,12801 KANSAS AVENUE,Bonner Springs,KS,Supercenter,KS,Midwest,Kansas,66012,"Walmart Supercenter - Bonner Springs,",#0486,12801 Kansas Ave,Bonner Springs,KS,66012,(913) 441-6751,-94.878378,39.08598
487,1983-03-01,NA,NA,17,039,10 CLINTON PLAZA HWY 54 WEST,Clinton,IL,Wal-Mart,IL,Midwest,Illinois,61727,"Walmart - Clinton,",#0487,10 Clinton Plaza Hwy 54 West,Clinton,IL,61727,(217) 935-9586,-88.958668,40.147869
488,1982-11-16,2002-10-16,1,12,039,1940 PAT THOMAS PKWY,Quincy,FL,Supercenter,FL,South,Florida,32351,"Walmart Supercenter - Quincy , Gas/Diesel,",#0488,1940 Pat Thomas Pky,Quincy,FL,32351,(850) 875-1661,-84.594523,30.557241
489,1983-08-02,1994-03-01,1,22,105,2799 WEST THOMAS STREET,Hammond,LA,Supercenter,LA,South,Louisiana,70401,"Walmart Supercenter - Hammond, Gas,",#0489,2799 West Thomas St,Hammond,LA,70401,(985) 345-8876,-90.493138,30.501962
491,1983-03-01,1993-03-01,1,21,145,5130 HINKLEVILLE ROAD,Paducah,KY,Supercenter,KY,South,Kentucky,42001,"Walmart Supercenter - Paducah, Gas,",#0491,5130 Hinkleville Rd,Paducah,KY,42001,(270) 444-0066,-88.688038,37.07336
492,1983-10-18,1996-03-01,1,18,083,650 KIMMEL RD,Vicennes,IN,Supercenter,IN,Midwest,Indiana,47591,"Walmart Supercenter - Vincennes,",#0492,650 Kimmel Rd,Vincennes,IN,47591,(812) 886-0312,-87.505446,38.662343
493,1983-04-05,NA,NA,21,017,2000 PARIS BYPASS,Paris,KY,Wal-Mart,KY,South,Kentucky,40361,"Walmart Supercenter - Paris , Gas/Diesel,",#0493,305 Letton Dr,Paris,KY,40361,(859) 987-2817,-84.276678,38.197532
494,1982-10-05,1996-03-01,1,13,077,1025 BULLSBORO DR,Newnan,GA,Supercenter,GA,South,Georgia,30265,"Walmart Supercenter - Newnan,",#0494,1025 Bullsboro Dr,Newnan,GA,30265,(770) 502-0677,-84.744096,33.394357
495,1983-08-02,2000-03-01,1,28,087,1913 HWY 45 NORTH,Columbus,MS,Supercenter,MS,South,Mississippi,39701,"Walmart Supercenter - Columbus, Gas,",#0495,1913 Hwy 45 North,Columbus,MS,39701,(662) 329-4810,-88.437804,33.518615
497,1983-03-01,1997-03-01,1,21,211,500 TAYLORSVILLE RD,Shelbyville,KY,Supercenter,KY,South,Kentucky,40065,"Walmart Supercenter - Shelbyville, Gas,",#0497,500 Taylorsville Rd,Shelbyville,KY,40065,(502) 633-0705,-85.264226,38.209411
498,1983-08-02,NA,NA,22,059,2426 EAST OAK STREET,Jena,LA,Wal-Mart,LA,South,Louisiana,71342,"Walmart Supercenter - Jena,",#0498,3670 West Oak St,Jena,LA,71342,(318) 992-1351,-92.140481,31.691935
499,1983-07-01,2003-08-20,1,40,047,5505 W OWEN K. GARRIOTT RD,Enid,OK,Supercenter,OK,South,Oklahoma,73703,"Walmart Supercenter - Enid , Gas/Diesel,",#0499,5505 W Owen K. Garriott Rd,Enid,OK,73703,(580) 237-7963,-97.945314,36.389009
500,1984-08-02,2000-03-01,1,48,141,4530 WOODROW BEAN TRANSMTN DR.,El Paso,TX,Supercenter,TX,South,Texas,79924,"Walmart Supercenter - El Paso, Gas,",#0500,4530 Woodrow Bean Transmountainn Dr,El Paso,TX,79924,(915) 757-0151,-106.438281,31.897012
501,1985-05-14,2000-03-01,1,28,067,1621 HWY 15 NORTH,Laurel,MS,Supercenter,MS,South,Mississippi,39440,"Walmart Supercenter - Laurel,",#0501,1621 Hwy 15,Laurel,MS,39440,(601) 649-6191,-89.147476,31.709396
502,1983-07-01,1995-03-01,1,22,057,16759 HWY 3235,Galliano,LA,Supercenter,LA,South,Louisiana,70354,"Walmart Supercenter - Galliano,",#0502,16759 Hwy 3235,Galliano,LA,70354,(985) 632-4040,-90.25832,29.38163
503,1983-08-02,NA,NA,48,089,2103 MILAM STREET,Columbus,TX,Wal-Mart,TX,South,Texas,78934,"Walmart - Columbus ,",#0503,2103 Milam St,Columbus,TX,78934,(979) 732-8341,-96.538919,29.694657
504,1983-08-02,1995-03-01,1,48,167,6702 SEAWALL BLVD,Galveston,TX,Supercenter,TX,South,Texas,77551,"Walmart Supercenter - Galveston  , Gas/Diesel,",#0504,6702 Seawall Blvd,Galveston,TX,77551,(409) 744-8677,-94.83232,29.26402
505,1983-11-01,1993-03-01,1,22,011,1125 NORTH PINE,Deridder,LA,Supercenter,LA,South,Louisiana,70634,"Walmart Supercenter - Deridder, Gas,",#0505,1125 North Pine,Deridder,LA,70634,(337) 462-0259,-93.286623,30.866143
506,1983-04-05,NA,NA,17,025,US HWY 50 & HWY 1,Flora,IL,Wal-Mart,IL,Midwest,Illinois,62839,"Walmart Supercenter - Flora,",#0506,1540 N Worthy,Flora,IL,62839,(618) 662-4491,-88.495775,38.681514
507,1983-08-02,NA,NA,21,005,224 WEST PARK SHOP CTR,Lawrenceburg,KY,Wal-Mart,KY,South,Kentucky,40342,"Walmart Supercenter - Lawrenceburg  , Gas/Diesel,",#0507,1000 Bypass North,Lawrenceburg,KY,40342,(502) 839-5178,-84.910167,38.03504
508,1983-04-05,1995-03-01,1,48,265,1216 JUNCTION HWY,Kerrville,TX,Supercenter,TX,South,Texas,78028,"Walmart Supercenter - Kerrville,",#0508,1216 Junction Hwy,Kerrville,TX,78028,(830) 895-7900,-99.167909,30.062113
510,1983-08-16,1994-03-01,1,13,139,400 SHALLOWFORD ROAD,Gainsville,GA,Supercenter,GA,South,Georgia,30504,"Walmart Supercenter - Gainesville,",#0510,400 Shallowford Rd,Gainesville,GA,30504,(770) 503-9300,-83.84777,34.2928
511,1981-07-04,2003-05-21,1,45,085,1283 BROAD ST,Sumter,SC,Supercenter,SC,South,South Carolina,29150,"Walmart Supercenter - Sumter , Gas/Diesel,",#0511,1283 BRd St,Sumter,SC,29150,(803) 905-5500,-80.389379,33.95907
512,1984-08-02,2003-08-20,1,48,141,10727 GATEWAY BLVD WEST,El Paso,TX,Supercenter,TX,South,Texas,79935,"Walmart Supercenter - El Paso , Gas/Diesel,",#0512,10727 Gateway Blvd W,El Paso,TX,79925,(915) 594-0243,-106.340838,31.752363
513,1983-08-16,1995-03-01,1,48,227,201 WEST MARCY,Big Spring,TX,Supercenter,TX,South,Texas,79720,"Walmart Supercenter - Big Spring , Gas,",#0513,201 West Marcy,Big Spring,TX,79720,(432) 267-3363,-101.468109,32.228704
514,1981-07-04,1995-03-01,1,45,003,2035 WHISKEY ROAD,Aiken,SC,Supercenter,SC,South,South Carolina,29803,"Walmart Supercenter - Aiken,",#0514,2035 Whiskey Rd,Aiken,SC,29803,(803) 648-9197,-81.718598,33.518428
515,1983-08-16,2000-03-01,1,37,039,2330 HIGHWAY 19,Murphy,NC,Supercenter,NC,South,North Carolina,28906,"Walmart Supercenter - Murphy , Gas/Diesel,",#0515,2330 Hwy 19,Murphy,NC,28906,(828) 837-9184,-84.006716,35.108733
516,1983-10-04,1994-03-01,1,48,213,1200 WEST MAIN,Gun Barrel City,TX,Supercenter,TX,South,Texas,75156,"Walmart Supercenter - Gun Barrel City, Gas,",#0516,1200 W Main,Gun Barrel City,TX,75156,(903) 887-4180,-96.135299,32.332089
517,1983-08-02,2003-05-21,1,40,017,951 EAST STATE HWY 152,Mustang,OK,Supercenter,OK,South,Oklahoma,73064,"Walmart Supercenter - Mustang , Gas/Diesel,",#0517,951 East State Hwy 152,Mustang,OK,73064,(405) 376-4549,-97.705276,35.392912
518,1983-11-01,1996-03-01,1,13,057,1550 RIVERSTONE PWKY,Canton,GA,Supercenter,GA,South,Georgia,30114,"Walmart Supercenter - Canton,",#0518,1550 Riverstone Pwky,Canton,GA,30114,(770) 479-9891,-84.461982,34.255894
519,1983-11-01,NA,NA,21,167,900 SOUTH COLLEGE,Harrodsburg,KY,Wal-Mart,KY,South,Kentucky,40330,"Walmart Supercenter - Harrodsburg,",#0519,591 Joseph Dr,Harrodsburg,KY,40330,(859) 734-5721,-84.842986,37.743065
520,1984-02-01,2002-02-20,1,13,013,440 ATLANTA HWY N.W.,Winder,GA,Supercenter,GA,South,Georgia,30680,"Walmart Supercenter - Winder , Gas/Diesel,",#0520,440 Atlanta Hwy N.w.,Winder,GA,30680,(770) 867-8642,-83.757177,33.991334
521,1984-03-20,2003-03-19,1,22,019,2500 N. MARTIN LUTHER KING HWY,Moss Bluff,LA,Supercenter,LA,South,Louisiana,70601,"Walmart Supercenter - Lake Charles , Gas/Diesel,",#0521,2500 N. Martin Luther King Hwy,Lake Charles,LA,70601,(337) 436-3909,-93.180494,30.269029
522,1984-03-20,2004-04-14,1,48,201,14215 FM 2100,Crosby,TX,Supercenter,TX,South,Texas,77532,"Walmart Supercenter - Crosby , Gas/Diesel,",#0522,14215 Fm 2100,Crosby,TX,77532,(281) 328-4836,-95.064513,29.894349
523,1983-11-29,NA,NA,48,365,423 W LOOP 436,Carthage,TX,Wal-Mart,TX,South,Texas,75633,"Walmart Supercenter - Carthage,",#0523,4609 NW Loop 436,Carthage,TX,75633,(903) 693-8881,-94.368035,32.16866
524,1983-08-16,NA,NA,48,255,337 N SUNSET,Kenedy,TX,Wal-Mart,TX,South,Texas,78119,"Walmart Supercenter - Converse , Gas/Diesel,",#5144,8315 Fm 78,Converse,TX,78109,(210) 666-6066,-98.323658,29.497804
526,1983-05-24,1997-03-01,1,21,111,3706 DIANN MARIE ROAD,Louisville (NE),KY,Supercenter,KY,South,Kentucky,40241,"Walmart Supercenter - Louisville (NE),",#0526,3706 Diann Marie Rd,Louisville,KY,40241,(502) 326-9166,-85.544539,38.299846
527,1983-05-03,1994-03-01,1,48,039,1801 N VELASCO,Angleton,TX,Supercenter,TX,South,Texas,77515,"Walmart Supercenter - Angleton, Gas,",#0527,1801 N Velasco,Angleton,TX,77515,(979) 849-4604,-95.434993,29.184198
528,1983-05-17,1997-03-01,1,12,081,2911 53RD AVENUE EAST,Brandenton,FL,Supercenter,FL,South,Florida,34203,"Walmart Supercenter - Bradenton ,",#0528,2911 53rd Av East,Bradenton,FL,34203,(941) 753-6751,-82.527739,27.448971
529,1983-07-01,2003-04-16,1,48,167,6410 I-45,Texas City,TX,Supercenter,TX,South,Texas,77568,"Walmart Supercenter - La Marque , Gas/Diesel,",#0529,6410   I-45,La Marque,TX,77568,NA,-95.037294,29.401874
530,1983-07-01,1996-03-01,1,05,139,2730 NORTHWEST AVE,El Dorado,AR,Supercenter,AR,South,Arkansas,71730,"Walmart Supercenter - El Dorado,",#0530,2730 Northwest Ave,El Dorado,AR,71730,(870) 862-2128,-92.667359,33.241791
531,1985-03-05,2001-04-18,1,22,055,3142 AMBASSADOR CAFFERY PKWY,Lafayette,LA,Supercenter,LA,South,Louisiana,70506,"Walmart Supercenter - Lafayette , Gas/Diesel,",#0531,3142 Ambassador Caffery Pkwy,Lafayette,LA,70506,(337) 989-4082,-92.077474,30.187359
532,1983-07-01,2000-03-01,1,22,005,308 N AIRLINE HWY,Gonzales,LA,Supercenter,LA,South,Louisiana,70737,"Walmart Supercenter - Gonzales , Gas,",#0532,308 N Airline Hwy,Gonzales,LA,70737,(225) 647-8950,-90.908373,30.234579
533,1983-05-17,2002-03-01,1,22,045,1205 E ADMIRAL DOYLE,New Iberia,LA,Supercenter,LA,South,Louisiana,70560,"Walmart Supercenter - New Iberia , Gas/Diesel,",#0533,1205 E Admiral Doyle,New Iberia,LA,70560,(337) 367-9333,-91.815885,29.985311
534,1983-05-17,2000-03-01,1,22,055,1229 NE EVANGELINE THRUWAY,Lafayette,LA,Supercenter,LA,South,Louisiana,70501,"Walmart Supercenter - Lafayette (N) , Gas,",#0534,1229 Ne Evangeline Thruway,Lafayette,LA,70501,(337) 232-1677,-92.014439,30.23936
535,1983-05-03,1996-03-01,1,48,441,4350 SOUTHWEST DR,Abilene,TX,Supercenter,TX,South,Texas,79606,"Walmart Supercenter - Abilene,",#0535,4350 Southwest Dr,Abilene,TX,79606,(325) 695-3092,-99.779944,32.410455
536,1983-05-03,2005-08-24,1,48,441,1650 STATE HWY 351,Abilene,TX,Supercenter,TX,South,Texas,79601,"Walmart Supercenter - Abilene , Gas/Diesel,",#0536,1650 State Hwy 351,Abilene,TX,79601,(325) 677-5584,-99.697963,32.479925
537,1983-06-07,1994-03-01,1,48,135,4210 JOHN BEN SHEPHERD PKWY,Odessa,TX,Supercenter,TX,South,Texas,79762,"Walmart Supercenter - Odessa,",#0537,4210 John Ben Shepherd Pkwy,Odessa,TX,79762,(432) 363-9663,-102.332964,31.895541
538,1983-05-17,NA,NA,12,001,2649 NW 13TH STREET,Gainesville,FL,Wal-Mart,FL,South,Florida,32609,"Walmart Supercenter - Gainesville,",#0538,5700 NW 23rd St,Gainesville,FL,32653,(352) 378-0619,-82.356373,29.711526
539,1983-05-19,1999-03-01,1,22,079,2050 NORTH MALL BLVD,Alexandria,LA,Supercenter,LA,South,Louisiana,71301,"Walmart Supercenter - Alexandria,",#0539,2050 North Mall Blvd,Alexandria,LA,71301,(318) 445-2300,-92.452923,31.278324
540,1983-05-17,1995-03-01,1,22,101,973 HWY 90 EAST,Bayou Vista,LA,Supercenter,LA,South,Louisiana,70380,"Walmart Supercenter - Morgan City, Gas,",#0540,973 Hwy 90 East,Morgan City,LA,70380,(985) 395-2094,-91.26703,29.68218
